,Kasus harian,Kasus Impor,Kasus Lokal,Total kasus,Kasus aktif,% kasus aktif,"Sembuh
(baru)",Sembuh,Tingkat kesembuhan (seluruh kasus),Tingkat kesembuhan (closed cases),"Meninggal
(baru)","Meninggal
Dunia",Tingkat kematian (seluruh kasus),Tingkat kematian (closed cases),PDP,ODP,Suspek aktif,Jumlah spesimen diperiksa (dari 1 April),Jumlah orang diperiksa,Negatif,"Positif 
(=C)",Dalam Proses,Spesimen,Spesimen (PCR-TCM),Spesimen (Antigen),Orang yang dites,Orang yang dites (PCR-TCM),Orang yang dites (Antigen),Vaksinasi (ineligible),Jumlah test/juta penduduk,Test/Positif,Jumlah org yg dites / positif,Jumlah Test/Positif harian,Positif / Jumlah Tes,Positive rate harian,Case Growth Rate,Tingkat positivitas mingguan,Jumlah spesimen diperiksa (rata-rata 7 hari),Jumlah orang diperiksa (rata-rata 7 hari),Rasio spesimen/orang diperiksa (rata-rata 7 hari),,Dosis pertama,Dosis kedua,Dosis ketiga,Dosis pertama (%),Dosis kedua (%),Dosis pertama (harian),Dosis kedua (harian),Dosis harian,Dosis pertama (mingguan),Dosis kedua (mingguan),Rata2 dosis harian (mingguan),Dosis pertama (SDM kesehatan),Dosis kedua (SDM kesehatan),Dosis ketiga (SDM kesehatan),Dosis pertama (SDM kesehatan) %,Dosis kedua (SDM kesehatan) %,Dosis pertama (petugas publik),Dosis kedua (petugas publik),Dosis pertama (petugas publik) %,Dosis kedua (petugas publik) %,Dosis pertama (lansia),Dosis kedua (lansia),Dosis pertama (lansia) %,Dosis kedua (lansia) %,Dosis pertama (warga umum),Dosis kedua (warga umum),Dosis pertama (remaja),Dosis kedua (remaja),Dosis pertama (Vakgor),Dosis kedua (Vakgor),Test PCR Orang Nasional Rata-rata 7 hari,Pos Rate Nasional - rata-rata 7 hari,Test Orang DKI,Positif DKI,,Pos Rate DKI,Pos Rate DKI - 7 harian,NON DKI,Positif Non DKI,,Pos Rate Non DKI,Pos Rate Non DKI - 7 harian,CFR
4/21/2020,283,,,"7,418",5869,79.12%,71,913,12.31%,58.94%,20,636,8.57%,41.06%,"17,754","193,571",,"55,732","47,361","39,943","7,418",0,"5,362",,,"1,188",,,,175,7.51,6.38,4.2,15.66%,23.82%,3.97%,15.89%,"2,757","2,051",1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.31%
4/22/2020,357,,,"7,775",6168,79.33%,47,960,12.35%,59.74%,11,647,8.32%,40.26%,"18,283","195,948",,"59,935","48,647","40,872","7,775",0,"4,203",,,"1,286",,,,180,7.71,6.26,3.6,15.98%,27.76%,4.81%,16.52%,"2,890","1,953",1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.84%
4/23/2020,436,,,"8,211",6520,79.41%,42,"1,002",12.20%,59.25%,42,689,8.39%,40.75%,"18,301","197,951",,"64,054","50,563","42,352","8,211",0,"4,119",,,"1,916",,,,187,7.8,6.16,4.39,16.24%,22.76%,5.61%,17.04%,"3,135","1,918",1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.19%
4/24/2020,396,,,"8,607",6845,79.53%,40,"1,042",12.11%,59.14%,31,720,8.37%,40.86%,"19,084","206,911",,"67,828","52,541","43,934","8,607",0,"3,774",,,"1,978",,,,195,7.88,6.1,4.99,16.38%,20.02%,4.82%,17.98%,"3,207","1,874",1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.98%
4/25/2020,275,,,"8,882",7032,79.17%,65,"1,107",12.46%,59.84%,23,743,8.37%,40.16%,"19,648","209,040",,"72,099","56,974","48,092","8,882",0,"4,271",,,"4,433",,,,211,8.12,6.41,16.12,15.59%,6.20%,3.20%,15.64%,"3,517","2,108",1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.47%
4/26/2020,214,,,"9,096",7180,78.94%,44,"1,151",12.65%,60.07%,22,765,8.41%,39.93%,"19,987","210,199",,"75,157","59,409","50,313","9,096",0,"3,058",,,"2,435",,,,220,8.26,6.53,11.38,15.31%,8.79%,2.41%,14.92%,"3,627","2,237",1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.47%
4/27/2020,415,,,"9,511",7484,78.69%,103,"1,254",13.18%,61.86%,8,773,8.13%,38.14%,"20,428","213,644",,"79,618","62,544","53,033","9,511",0,"4,461",,,"3,135",,,,232,8.37,6.58,7.55,15.21%,13.24%,4.56%,14.51%,"4,178","2,339",1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.92%
4/28/2020,260,,,"9,771",7596,77.74%,137,"1,391",14.24%,63.95%,11,784,8.02%,36.05%,"21,653","221,750",,"86,985","67,784","58,013","9,771",0,"7,367",,,"5,240",,,,251,8.9,6.94,20.15,14.41%,4.96%,2.73%,11.52%,"4,465","2,918",1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33%
4/29/2020,347,,,"10,118",7804,77.13%,131,"1,522",15.04%,65.77%,8,792,7.83%,34.23%,"21,827","230,411",,"94,599","72,351","62,233","10,118",0,"7,614",,,"4,567",,,,268,9.35,7.15,13.16,13.98%,7.60%,3.55%,9.88%,"4,952","3,386",1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.39%
4/30/2020,433,,,10551,8160,77.34%,69,"1,591",15.08%,66.54%,8,800,7.58%,33.46%,"22,123","233,120",,"102,305","76,538","65,987","10,551",0,"7,706",,,"4,187",,,,283,9.7,7.25,9.67,13.79%,10.34%,4.28%,9.01%,"5,464","3,711",1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.46%
5/1/2020,292,,,"10,843",8347,76.98%,74,"1,665",15.36%,66.71%,31,831,7.66%,33.29%,"22,545","235,035",,"107,943","79,868","69,025","10,843",0,"5,638",,,"3,330",,,,296,9.96,7.37,11.4,13.58%,8.77%,2.77%,8.18%,"5,731","3,904",1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.63%
5/2/2020,349,,,"11,192",8471,75.69%,211,"1,876",16.76%,68.95%,14,845,7.55%,31.05%,"23,130","236,369",,"112,965","83,012","71,820","11,192",0,"5,022",,,"3,144",,,,307,10.09,7.42,9.01,13.48%,11.10%,3.22%,8.87%,"5,838","3,720",1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.10%
5/3/2020,395,,,"11,587",8769,75.68%,78,"1,954",16.86%,69.34%,19,864,7.46%,30.66%,"24,020","238,178",,"116,861","86,061","74,474","11,587",0,"3,896",,,"3,049",,,,319,10.09,7.43,7.72,13.46%,12.96%,3.53%,9.35%,"5,958","3,807",1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.70%
5/4/2020,484,,,"12,071",9002,74.58%,243,"2,197",18.20%,71.59%,8,872,7.22%,28.41%,"26,408","239,226",,"121,547","88,924","76,853","12,071",0,"4,686",,,"2,863",,,,329,10.07,7.37,5.92,13.57%,16.91%,4.18%,9.70%,"5,990","3,769",1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.89%
5/5/2020,367,,,"12,438",9226,74.18%,120,"2,317",18.63%,72.14%,23,895,7.20%,27.86%,"26,932","240,726",,"128,383","92,976","80,538","12,438",0,"6,836",,,"4,052",,,,344,10.32,7.48,11.04,13.38%,9.06%,3.04%,10.59%,"5,914","3,599",1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.45%
5/6/2020,338,,,"12,776",9465,74.08%,64,"2,381",18.64%,71.91%,35,930,7.28%,28.09%,"28,508","243,455",,"134,151","96,717","83,941","12,776",0,"5,768",,,"3,741",,,,358,10.5,7.57,11.07,13.21%,9.04%,2.72%,10.91%,"5,650","3,481",1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.92%
5/7/2020,336,,,"13,112",9675,73.79%,113,"2,494",19.02%,72.56%,13,943,7.19%,27.44%,"29,087","244,480",,"143,452","103,361","90,249","13,112",0,"9,301",,,"6,644",,,,383,10.94,7.88,19.77,12.69%,5.06%,2.63%,9.55%,"5,878","3,832",1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.02%
5/8/2020,533,,,"13,645",10079,73.87%,113,"2,607",19.11%,73.11%,16,959,7.03%,26.89%,"29,690","246,847",,"150,887","108,699","95,054","13,645",0,"7,435",,,"5,338",,,,403,11.06,7.97,10.02,12.55%,9.99%,4.06%,9.72%,"6,135","4,119",1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.27%
5/9/2020,387,,,"14,032",10361,73.84%,91,"2,698",19.23%,73.49%,14,973,6.93%,26.51%,"30,317","248,690",,"158,273","113,452","99,420","14,032",0,"7,386",,,"4,753",,,,420,11.28,8.09,12.28,12.37%,8.14%,2.84%,9.33%,"6,473","4,349",1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.46%
5/10/2020,233,,,"14,265",10393,72.86%,183,"2,881",20.20%,74.41%,18,991,6.95%,25.59%,"31,994","249,105",,"161,351","116,358","102,093","14,265",0,"3,078",,,"2,906",,,,431,11.31,8.16,12.47,12.26%,8.02%,1.66%,8.84%,"6,356","4,328",1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4328,8.84%,,,,,,,,,,,13.06%
5/11/2020,484,,,"14,749",10679,72.40%,182,"3,063",20.77%,75.26%,16,"1,007",6.83%,24.74%,"32,147","251,861",,"165,128","119,728","104,979","14,749",0,"3,777",,,"3,370",,,,443,11.2,8.12,6.96,12.32%,14.36%,3.39%,8.69%,"6,226","4,401",1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4401,8.69%,,,,,,,,,,,12.94%
5/12/2020,689,,,"15,438",11123,72.05%,224,"3,287",21.29%,76.18%,21,"1,028",6.66%,23.82%,"33,042","256,299",,"169,195","123,572","108,134","15,438",0,"4,067",,,"3,844",,,,458,10.96,8,5.58,12.49%,17.92%,4.67%,9.81%,"5,830","4,371",1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4371,9.81%,,,,,,,,,,,12.87%
5/13/2020,568,,,"16,006",11445,71.50%,231,"3,518",21.98%,77.13%,15,"1,043",6.52%,22.87%,"33,672","258,639",,"173,690","127,813","111,807","16,006",0,"4,495",,,"4,241",,,,473,10.85,7.99,7.47,12.52%,13.39%,3.68%,10.39%,"5,648","4,442",1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4442,10.39%,,,,,,,,,,,12.58%
5/14/2020,490,,,"16,496",11617,70.42%,285,"3,803",23.05%,77.95%,33,"1,076",6.52%,22.05%,"34,360","262,919",,"178,602","132,060","115,564","16,496",0,"4,912",,,"4,247",,,,489,10.83,8.01,8.67,12.49%,11.54%,3.06%,11.79%,"5,021","4,100",1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100,11.79%,1887,62,"1,887",3.29%,3.29%,"2,360",428,"2,360",18.14%,18.14%,12.48%
5/15/2020,529,,,"17,025",12025,70.63%,108,"3,911",22.97%,78.22%,13,"1,089",6.40%,21.78%,"35,069","269,449",,"182,818","135,725","118,700","17,025",0,"4,216",,,"3,665",,,,503,10.74,7.97,6.93,12.54%,14.43%,3.21%,12.51%,"4,562","3,861",1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3861,12.51%,1065,116,"1,476",10.89%,6.03%,"2,600",413,"2,480",15.88%,16.96%,11.49%
5/16/2020,489,,,"17,514",12237,69.87%,218,"4,129",23.58%,78.25%,59,"1,148",6.55%,21.75%,"35,800","270,876",,"187,965","140,473","122,959","17,514",0,"5,147",,,"4,748",,,,520,10.73,8.02,9.71,12.47%,10.30%,2.87%,12.89%,"4,242","3,860",1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3860,12.89%,1378,127,"1,443",9.22%,7.04%,"3,370",362,"2,777",10.74%,14.44%,13.45%
5/17/2020,496,,,"18,010",12495,69.38%,195,"4,324",24.01%,78.40%,43,"1,191",6.61%,21.60%,"11,422","45,047","56,469","190,660","143,035","125,025","18,010",0,"2,695",,,"2,562",,,,530,10.59,7.94,5.17,12.59%,19.36%,2.83%,14.04%,"4,187","3,811",1.1,7927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3811,14.04%,1180,88,"1,378",7.46%,7.13%,"1,382",408,"2,428",29.52%,16.59%,13.80%
5/18/2020,486,,,"18,496",12808,69.25%,143,"4,467",24.15%,78.53%,30,"1,221",6.60%,21.47%,"11,891","45,300","57,191","202,936","147,799","129,303","18,496",0,"12,276",,,"4,764",,,,547,10.97,7.99,9.8,12.51%,10.20%,2.70%,13.35%,"5,401","4,010",1.35,7634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4010,13.35%,1193,43,"1,341",3.60%,6.50%,"3,571",443,"2,657",12.41%,15.46%,15.37%
5/19/2020,693,,,"19,189",13372,69.69%,108,"4,575",23.84%,78.65%,21,"1,242",6.47%,21.35%,"11,705","44,703","56,408","211,883","154,139","134,950","19,189",0,"8,947",,,"6,340",,,,571,11.04,8.03,9.15,12.45%,10.93%,3.75%,12.27%,"6,098","4,367",1.4,6922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4367,12.27%,1080,97,"1,297",8.98%,6.85%,"5,260",596,"3,091",11.33%,14.29%,15.37%
5/20/2020,973,,,"20,162",14046,69.67%,263,"4,838",24.00%,79.10%,36,"1,278",6.34%,20.90%,"11,066","50,187","61,253","219,975","160,374","140,212","20,162",0,"8,092",,,"6,235",,,,594,10.91,7.95,6.41,12.57%,15.61%,5.07%,12.76%,"6,612","4,652",1.42,7818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4652,12.76%,1252,70,"1,291",5.59%,6.67%,"4,983",903,"3,361",18.12%,15.10%,14.16%
5/21/2020,634,,,"20,796",14413,69.31%,219,"5,057",24.32%,79.23%,48,"1,326",6.38%,20.77%,"11,028","47,150","58,178","229,334","168,969","148,173","20,796",0,"9,359",,,"8,595",,,,626,11.03,8.13,13.56,12.31%,7.38%,3.14%,11.65%,"7,247","5,273",1.37,6778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5273,11.65%,1029,96,"1,168",9.33%,7.79%,"7,566",538,"4,105",7.11%,12.75%,14.94%
5/22/2020,949,,,"21,745",15145,69.65%,192,"5,249",24.14%,79.53%,25,"1,351",6.21%,20.47%,"11,495","49,958","61,453","239,740","176,035","154,290","21,745",0,"10,406",,,"7,066",,,,652,11.03,8.1,7.45,12.35%,13.43%,4.56%,11.71%,"8,132","5,759",1.41,7196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5759,11.71%,1496,127,"1,230",8.49%,7.53%,"5,570",822,"4,529",14.76%,12.84%,14.84%
5/23/2020,526,,,"22,271",15497,69.58%,153,"5,402",24.26%,79.75%,21,"1,372",6.16%,20.25%,"11,389","42,551","53,940","248,555","179,864","157,593","22,271",0,"8,815",,,"3,829",,,,666,11.16,8.08,7.28,12.38%,13.74%,2.42%,12.08%,"8,656","5,627",1.54,6514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5627,12.08%,1393,118,"1,232",8.47%,7.41%,"2,436",408,"4,395",16.75%,13.38%,14.76%
5/24/2020,479,,,"22,750",15717,69.09%,240,"5,642",24.80%,80.22%,19,"1,391",6.11%,19.78%,"12,342","49,361","61,703","256,946","183,192","160,442","22,750",0,"8,391",,,"3,328",,,,678,11.29,8.05,6.95,12.42%,14.39%,2.15%,11.80%,"9,469","5,737",1.65,7283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5737,11.80%,402,67,"1,121",16.67%,7.88%,"2,926",412,"4,616",14.08%,12.76%,14.49%
5/25/2020,415,,,"23,165",15870,68.51%,235,"5,877",25.37%,80.56%,27,"1,418",6.12%,19.44%,"12,022","65,748","77,770","264,098","188,302","165,137","23,165",0,"7,152",,,"5,110",,,,697,11.4,8.13,12.31,12.30%,8.12%,1.82%,11.53%,"8,737","5,786",1.51,8965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5786,11.53%,851,93,"1,072",10.93%,8.90%,"4,259",322,"4,714",7.56%,12.12%,14.61%
5/26/2020,686,,,"23,851",16321,68.43%,180,"6,057",25.40%,80.44%,55,"1,473",6.18%,19.56%,"12,667","49,942","62,609","278,411","195,518","171,667","23,851",0,"14,313",,,"7,216",,,,724,11.67,8.2,10.52,12.20%,9.51%,2.96%,11.27%,"9,504","5,911",1.61,7054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5911,11.27%,882,105,"1,044",11.90%,9.25%,"6,334",581,"4,868",9.17%,11.70%,16.06%
5/27/2020,687,,,"24,538",16802,68.47%,183,"6,240",25.43%,80.66%,23,"1,496",6.10%,19.34%,"13,250","48,749","61,999","289,906","201,311","176,773","24,538",0,"11,495",,,"5,793",,,,746,11.81,8.2,8.43,12.19%,11.86%,2.88%,10.69%,"9,990","5,848",1.71,6627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5848,10.69%,1061,103,"1,016",9.71%,9.97%,"4,732",584,"4,832",12.34%,10.84%,16.64%
5/28/2020,678,,,"25,216",17204,68.23%,252,"6,492",25.75%,81.03%,24,"1,520",6.03%,18.97%,"12,499","49,212","61,711","300,545","205,165","179,949","25,216",0,"10,639",,,"3,854",,,,760,11.92,8.14,5.68,12.29%,17.59%,2.76%,12.21%,"10,173","5,171",1.97,7536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5171,12.21%,1183,124,"1,038",10.48%,10.14%,"2,671",554,"4,133",20.74%,12.73%,16.51%
5/29/2020,557,,,"25,773",17185,66.68%,523,"7,015",27.22%,81.68%,53,"1,573",6.10%,18.32%,"12,832","47,714","60,546","311,906","216,769","190,996","25,773",0,"11,361",,,"11,604",,,,803,12.1,8.41,20.83,11.89%,4.80%,2.21%,9.89%,"10,309","5,819",1.77,5987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5819,9.89%,1854,100,"1,089",5.39%,9.31%,"9,750",457,"4,730",4.69%,10.02%,15.59%
5/30/2020,700,,,"26,473",17552,66.30%,293,"7,308",27.61%,81.92%,40,"1,613",6.09%,18.08%,"12,913","49,936","62,849","323,376","223,624","197,151","26,473",0,"11,470",,,"6,855",,,,828,12.22,8.45,9.79,11.84%,10.21%,2.72%,9.60%,"10,689","6,251",1.71,6035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6251,9.60%,1295,119,"1,075",9.19%,9.44%,"5,560",581,"5,176",10.45%,9.64%,14.63%
5/31/2020,467,,,"26,940",17662,65.56%,329,"7,637",28.35%,82.31%,28,"1,641",6.09%,17.69%,"13,120","48,358","61,478","333,415","232,113","205,173","26,940",0,"10,039",,,"8,489",,,,860,12.38,8.62,18.18,11.61%,5.50%,1.76%,8.56%,"10,924","6,989",1.56,5265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6989,8.56%,1607,111,"1,248",6.91%,8.65%,"6,882",356,"5,741",5.17%,8.55%,13.58%
6/1/2020,609,,,"27,549",17951,65.16%,298,"7,935",28.80%,82.67%,22,"1,663",6.04%,17.33%,"13,213","48,023","61,236","342,464","237,947","210,398","27,549",0,"9,049",,,"5,834",,,,881,12.43,8.64,9.58,11.58%,10.44%,2.26%,8.83%,"11,195","7,092",1.58,5408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7092,8.83%,1008,73,"1,270",7.24%,8.27%,"4,826",536,"5,822",11.11%,8.95%,12.75%
6/2/2020,684,,,"28,233",18129,64.21%,471,"8,406",29.77%,83.19%,35,"1,698",6.01%,16.81%,"13,285","48,153","61,438","354,434","246,433","218,200","28,233",0,"11,970",,,"8,486",,,,913,12.55,8.73,12.41,11.46%,8.06%,2.48%,8.61%,"10,860","7,274",1.49,5288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7274,8.61%,1135,83,"1,306",7.31%,7.80%,"7,351",601,"5,967",8.18%,8.78%,11.90%
6/3/2020,585,,,"28,818",18205,63.17%,486,"8,892",30.86%,83.78%,23,"1,721",5.97%,16.22%,"13,416","47,373","60,789","367,640","251,736","222,918","28,818",0,"13,206",,,"5,303",,,,932,12.76,8.74,9.06,11.45%,11.03%,2.07%,8.49%,"11,105","7,204",1.54,5160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7204,8.49%,1078,62,"1,309",5.75%,7.34%,"4,225",523,"5,895",12.38%,8.74%,10.93%
6/4/2020,703,,,"29,521",18308,62.02%,551,"9,443",31.99%,84.21%,49,"1,770",6.00%,15.79%,"13,592","49,320","62,912","380,973","256,810","227,289","29,521",0,"13,333",,,"5,074",,,,951,12.91,8.7,7.22,11.50%,13.85%,2.44%,8.34%,"11,490","7,378",1.56,5244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7378,8.34%,1771,83,"1,393",4.69%,6.47%,"3,303",620,"5,985",18.77%,8.77%,10.12%
6/5/2020,993,,,"30,514",18806,61.63%,464,"9,907",32.47%,84.62%,31,"1,801",5.90%,15.38%,"13,347","46,571","59,918","394,068","264,740","234,226","30,514",0,"13,095",,,"7,930",,,,981,12.91,8.68,7.99,11.53%,12.52%,3.36%,9.88%,"11,737","6,853",1.71,5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6853,9.88%,1052,102,"1,278",9.70%,7.08%,"6,878",891,"5,575",12.95%,10.53%,9.66%
6/6/2020,672,,,"31,186",18837,60.40%,591,"10,498",33.66%,85.01%,50,"1,851",5.94%,14.99%,"14,197","40,370","54,567","405,992","269,146","237,960","31,186",0,"11,924",,,"4,406",,,,997,13.02,8.63,6.56,11.59%,15.25%,2.20%,10.35%,"11,802","6,503",1.81,5649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6503,10.35%,1831,160,"1,355",8.74%,7.11%,"2,575",512,"5,149",19.88%,11.21%,9.40%
6/7/2020,847,,,"32,033",19246,60.08%,406,"10,904",34.04%,85.27%,32,"1,883",5.88%,14.73%,"14,010","38,791","52,801","412,980","274,430","242,397","32,033",0,"6,988",,,"5,284",,,,"1,016",12.89,8.57,6.24,11.67%,16.03%,2.72%,12.04%,"11,366","6,045",1.88,6355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6045,12.04%,1920,96,"1,399",5.00%,6.73%,"3,364",751,"4,646",22.32%,13.63%,9.35%
6/8/2020,"1,043",,,"33,076",19739,59.68%,510,"11,414",34.51%,85.58%,40,"1,923",5.81%,14.42%,"14,108","38,394","52,502","429,161","281,653","248,577","33,076",0,"16,181",,,"7,223",,,,"1,043",12.97,8.52,6.93,11.74%,14.44%,3.26%,12.65%,"12,385","6,244",1.98,6639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6244,12.65%,1762,194,"1,507",11.01%,7.39%,"5,461",849,"4,737",15.55%,14.32%,9.12%
6/9/2020,"1,240",,,"34,316",20228,58.95%,715,"12,129",35.35%,86.09%,36,"1,959",5.71%,13.91%,"14,242","43,945","58,187","446,918","287,478","253,162","34,316",0,"17,757",,,"5,825",,,,"1,065",13.02,8.38,4.7,11.94%,21.29%,3.75%,14.82%,"13,212","5,864",2.25,8623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5864,14.82%,2098,147,"1,645",7.01%,7.33%,"3,727","1,093","4,219",29.33%,17.74%,8.00%
6/10/2020,979,,,"35,295",20659,58.53%,507,"12,636",35.80%,86.34%,41,"2,000",5.67%,13.66%,"14,052","43,414","57,466","463,620","294,671","259,376","35,295",0,"16,702",,,"7,193",,,,"1,091",13.14,8.35,7.35,11.98%,13.61%,2.85%,15.09%,"13,711","6,134",2.24,8669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6134,15.09%,3372,216,"1,972",6.41%,7.23%,"3,821",763,"4,161",19.97%,18.81%,7.88%
6/11/2020,"1,111",,,"36,406",21145,58.08%,577,"13,213",36.29%,86.58%,48,"2,048",5.63%,13.42%,"13,923","37,538","51,461","478,953","302,147","265,741","36,406",0,"15,333",,,"7,476",,,,"1,119",13.16,8.3,6.73,12.05%,14.86%,3.15%,15.19%,"13,997","6,477",2.16,7815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6477,15.19%,1387,76,"1,917",5.48%,7.38%,"6,089","1,035","4,559",17.00%,18.47%,7.86%
6/12/2020,"1,014",,,"37,420",21553,57.60%,563,"13,776",36.81%,86.82%,43,"2,091",5.59%,13.18%,"13,578","42,450","56,028","495,527","313,275","275,855","37,420",0,"16,574",,,"11,128",,,,"1,160",13.24,8.37,10.97,11.94%,9.11%,2.79%,14.23%,"14,494","6,934",2.09,7972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6934,14.23%,3394,33,"2,252",0.97%,5.85%,"7,734",981,"4,682",12.68%,18.26%,7.66%
6/13/2020,857,,,"38,277",21612,56.46%,755,"14,531",37.96%,87.19%,43,"2,134",5.58%,12.81%,"13,574","41,639","55,213","514,287","322,933","284,656","38,277",0,"18,760",,,"9,658",,,,"1,196",13.44,8.44,11.27,11.85%,8.87%,2.29%,13.18%,"15,471","7,684",2.01,7279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7684,13.18%,3308,115,"2,463",3.48%,5.09%,"6,350",742,"5,221",11.69%,17.00%,7.21%
6/14/2020,"1,017",,,"39,294",21973,55.92%,592,"15,123",38.49%,87.31%,64,"2,198",5.59%,12.69%,"13,649","36,744","50,393","523,063","329,190","289,896","39,294",0,"8,776",,,"6,257",,,,"1,219",13.31,8.38,6.15,11.94%,16.25%,2.66%,13.26%,"15,726","7,823",2.01,6682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7823,13.26%,1693,105,"2,431",6.20%,5.21%,"4,564",912,"5,392",19.98%,16.89%,7.44%
6/15/2020,"1,106",,,"40,400",22466,55.61%,580,"15,703",38.87%,87.56%,33,"2,231",5.52%,12.44%,"13,510","29,124","42,634","540,115","339,309","298,909","40,400",0,"17,052",,,"10,119",,,,"1,257",13.37,8.4,9.15,11.91%,10.93%,2.81%,12.70%,"15,851","8,237",1.92,5416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8237,12.70%,2823,94,"2,582",3.33%,4.35%,"7,296","1,012","5,654",13.87%,16.52%,7.31%
6/16/2020,"1,031",,,"41,431",22912,55.30%,540,"16,243",39.20%,87.71%,45,"2,276",5.49%,12.29%,"13,279","42,714","55,993","559,872","348,278","306,847","41,431",0,"19,757",,,"8,969",,,,"1,290",13.51,8.41,8.7,11.90%,11.50%,2.55%,11.70%,"16,136","8,686",1.86,6552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8686,11.70%,2872,147,"2,693",5.12%,4.17%,"6,097",884,"5,993",14.50%,15.09%,7.38%
6/17/2020,"1,331",,,"42,762",23625,55.25%,555,"16,798",39.28%,87.78%,63,"2,339",5.47%,12.22%,"17,923","36,698","54,621","580,522","358,659","315,897","42,762",0,"20,650",,,"10,381",,,,"1,328",13.58,8.39,7.8,11.92%,12.82%,3.21%,11.67%,"16,700","9,141",1.83,6374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9141,11.67%,3739,176,"2,745",4.71%,3.88%,"6,642","1,155","6,396",17.39%,15.01%,7.82%
